opt,name,kernal_size,lamda,sigma,dilation_level,fd
0,prostate,3,0.0,0.001,0,0.29317607797706163
1,prostate,3,0.0,0.001,3,0.6770025145904832
2,prostate,3,0.0,0.001,5,0.8513409319307439
3,prostate,3,0.0,0.001,7,0.8015674863690674
4,prostate,3,0.0,0.001,9,0.6883796718358589
5,prostate,3,0.0,0.001,12,0.5361163659276773
6,prostate,3,0.0,0.001,14,0.45644296366613496
7,prostate,3,0.1,0.001,0,0.29317607797706163
8,prostate,3,0.1,0.001,3,0.6225200233798477
9,prostate,3,0.1,0.001,5,0.799876769972044
10,prostate,3,0.1,0.001,7,0.7974975097925602
11,prostate,3,0.1,0.001,9,0.70690177707951
12,prostate,3,0.1,0.001,12,0.5707002683162424
13,prostate,3,0.1,0.001,14,0.49416011601568566
14,prostate,3,1.0,0.001,0,0.29317607797706163
15,prostate,3,1.0,0.001,3,0.6225200233798477
16,prostate,3,1.0,0.001,5,0.799876769972044
17,prostate,3,1.0,0.001,7,0.7974975097925602
18,prostate,3,1.0,0.001,9,0.70690177707951
19,prostate,3,1.0,0.001,12,0.5707002683162424
20,prostate,3,1.0,0.001,14,0.49416011601568566
21,prostate,3,2.0,0.001,0,0.29317607797706163
22,prostate,3,2.0,0.001,3,0.6225200233798477
23,prostate,3,2.0,0.001,5,0.799876769972044
24,prostate,3,2.0,0.001,7,0.7974975097925602
25,prostate,3,2.0,0.001,9,0.70690177707951
26,prostate,3,2.0,0.001,12,0.5707002683162424
27,prostate,3,2.0,0.001,14,0.49416011601568566
28,prostate,3,5.0,0.001,0,0.29317607797706163
29,prostate,3,5.0,0.001,3,0.6225200233798477
30,prostate,3,5.0,0.001,5,0.799876769972044
31,prostate,3,5.0,0.001,7,0.7974975097925602
32,prostate,3,5.0,0.001,9,0.70690177707951
33,prostate,3,5.0,0.001,12,0.5707002683162424
34,prostate,3,5.0,0.001,14,0.49416011601568566
35,prostate,3,10.0,0.001,0,0.29317607797706163
36,prostate,3,10.0,0.001,3,0.6225200233798477
37,prostate,3,10.0,0.001,5,0.799876769972044
38,prostate,3,10.0,0.001,7,0.7974975097925602
39,prostate,3,10.0,0.001,9,0.70690177707951
40,prostate,3,10.0,0.001,12,0.5707002683162424
41,prostate,3,10.0,0.001,14,0.49416011601568566
42,prostate,5,0.0,0.001,0,0.29317607797706163
43,prostate,5,0.0,0.001,3,0.6770025145904832
44,prostate,5,0.0,0.001,5,0.8513409319307439
45,prostate,5,0.0,0.001,7,0.8015674863690674
46,prostate,5,0.0,0.001,9,0.6883796718358589
47,prostate,5,0.0,0.001,12,0.5361163659276773
48,prostate,5,0.0,0.001,14,0.45644296366613496
49,prostate,5,0.1,0.001,0,0.29317607797706163
50,prostate,5,0.1,0.001,3,0.5444157877782713
51,prostate,5,0.1,0.001,5,0.7048000231675539
52,prostate,5,0.1,0.001,7,0.7525448090999355
53,prostate,5,0.1,0.001,9,0.7018926481489567
54,prostate,5,0.1,0.001,12,0.5961557196003326
55,prostate,5,0.1,0.001,14,0.5319759427096769
56,prostate,5,1.0,0.001,0,0.29317607797706163
57,prostate,5,1.0,0.001,3,0.5444157877782713
58,prostate,5,1.0,0.001,5,0.7048000231675539
59,prostate,5,1.0,0.001,7,0.7525448090999355
60,prostate,5,1.0,0.001,9,0.7018926481489567
61,prostate,5,1.0,0.001,12,0.5961557196003326
62,prostate,5,1.0,0.001,14,0.5319759427096769
63,prostate,5,2.0,0.001,0,0.29317607797706163
64,prostate,5,2.0,0.001,3,0.5444157877782713
65,prostate,5,2.0,0.001,5,0.7048000231675539
66,prostate,5,2.0,0.001,7,0.7525448090999355
67,prostate,5,2.0,0.001,9,0.7018926481489567
68,prostate,5,2.0,0.001,12,0.5961557196003326
69,prostate,5,2.0,0.001,14,0.5319759427096769
70,prostate,5,5.0,0.001,0,0.29317607797706163
71,prostate,5,5.0,0.001,3,0.5444157877782713
72,prostate,5,5.0,0.001,5,0.7048000231675539
73,prostate,5,5.0,0.001,7,0.7525448090999355
74,prostate,5,5.0,0.001,9,0.7018926481489567
75,prostate,5,5.0,0.001,12,0.5961557196003326
76,prostate,5,5.0,0.001,14,0.5319759427096769
77,prostate,5,10.0,0.001,0,0.29317607797706163
78,prostate,5,10.0,0.001,3,0.5444157877782713
79,prostate,5,10.0,0.001,5,0.7048000231675539
80,prostate,5,10.0,0.001,7,0.7525448090999355
81,prostate,5,10.0,0.001,9,0.7018926481489567
82,prostate,5,10.0,0.001,12,0.5961557196003326
83,prostate,5,10.0,0.001,14,0.5319759427096769
84,prostate,7,0.0,0.001,0,0.29317607797706163
85,prostate,7,0.0,0.001,3,0.6770025145904832
86,prostate,7,0.0,0.001,5,0.8513409319307439
87,prostate,7,0.0,0.001,7,0.8015674863690674
88,prostate,7,0.0,0.001,9,0.6883796718358589
89,prostate,7,0.0,0.001,12,0.5361163659276773
90,prostate,7,0.0,0.001,14,0.45644296366613496
91,prostate,7,0.1,0.001,0,0.29317607797706163
92,prostate,7,0.1,0.001,3,0.49454525890229156
93,prostate,7,0.1,0.001,5,0.6288542647911226
94,prostate,7,0.1,0.001,7,0.695172358086596
95,prostate,7,0.1,0.001,9,0.6847476862873081
96,prostate,7,0.1,0.001,12,0.618702586347043
97,prostate,7,0.1,0.001,14,0.5706813832215515
98,prostate,7,1.0,0.001,0,0.29317607797706163
99,prostate,7,1.0,0.001,3,0.49454525890229156
100,prostate,7,1.0,0.001,5,0.6288542647911226
101,prostate,7,1.0,0.001,7,0.695172358086596
102,prostate,7,1.0,0.001,9,0.6847476862873081
103,prostate,7,1.0,0.001,12,0.618702586347043
104,prostate,7,1.0,0.001,14,0.5706813832215515
105,prostate,7,2.0,0.001,0,0.29317607797706163
106,prostate,7,2.0,0.001,3,0.49454525890229156
107,prostate,7,2.0,0.001,5,0.6288542647911226
108,prostate,7,2.0,0.001,7,0.695172358086596
109,prostate,7,2.0,0.001,9,0.6847476862873081
110,prostate,7,2.0,0.001,12,0.618702586347043
111,prostate,7,2.0,0.001,14,0.5706813832215515
112,prostate,7,5.0,0.001,0,0.29317607797706163
113,prostate,7,5.0,0.001,3,0.49454525890229156
114,prostate,7,5.0,0.001,5,0.6288542647911226
115,prostate,7,5.0,0.001,7,0.695172358086596
116,prostate,7,5.0,0.001,9,0.6847476862873081
117,prostate,7,5.0,0.001,12,0.618702586347043
118,prostate,7,5.0,0.001,14,0.5706813832215515
119,prostate,7,10.0,0.001,0,0.29317607797706163
120,prostate,7,10.0,0.001,3,0.49454525890229156
121,prostate,7,10.0,0.001,5,0.6288542647911226
122,prostate,7,10.0,0.001,7,0.695172358086596
123,prostate,7,10.0,0.001,9,0.6847476862873081
124,prostate,7,10.0,0.001,12,0.618702586347043
125,prostate,7,10.0,0.001,14,0.5706813832215515
126,prostate,3,0.0,0.01,0,0.29317607797706163
127,prostate,3,0.0,0.01,3,0.6770025145904832
128,prostate,3,0.0,0.01,5,0.8513409319307439
129,prostate,3,0.0,0.01,7,0.8015674863690674
130,prostate,3,0.0,0.01,9,0.6883796718358589
131,prostate,3,0.0,0.01,12,0.5361163659276773
132,prostate,3,0.0,0.01,14,0.45644296366613496
133,prostate,3,0.1,0.01,0,0.29317607797706163
134,prostate,3,0.1,0.01,3,0.46355330432236275
135,prostate,3,0.1,0.01,5,0.5703784510011345
136,prostate,3,0.1,0.01,7,0.6571376892589367
137,prostate,3,0.1,0.01,9,0.6908432510709799
138,prostate,3,0.1,0.01,12,0.6840364016934393
139,prostate,3,0.1,0.01,14,0.6719173544988809
140,prostate,3,1.0,0.01,0,0.29317607797706163
141,prostate,3,1.0,0.01,3,0.4634397036894699
142,prostate,3,1.0,0.01,5,0.5701670994971167
143,prostate,3,1.0,0.01,7,0.6571269298217758
144,prostate,3,1.0,0.01,9,0.6912304290859238
145,prostate,3,1.0,0.01,12,0.6853625843197491
146,prostate,3,1.0,0.01,14,0.6736090939021058
147,prostate,3,2.0,0.01,0,0.29317607797706163
148,prostate,3,2.0,0.01,3,0.4634397036894699
149,prostate,3,2.0,0.01,5,0.5701670994971167
150,prostate,3,2.0,0.01,7,0.6571269298217758
151,prostate,3,2.0,0.01,9,0.6912304290859238
152,prostate,3,2.0,0.01,12,0.6853625843197491
153,prostate,3,2.0,0.01,14,0.6736090939021058
154,prostate,3,5.0,0.01,0,0.29317607797706163
155,prostate,3,5.0,0.01,3,0.4634404618406529
156,prostate,3,5.0,0.01,5,0.5701645957393678
157,prostate,3,5.0,0.01,7,0.6571245995593535
158,prostate,3,5.0,0.01,9,0.691226667202473
159,prostate,3,5.0,0.01,12,0.6853612267280809
160,prostate,3,5.0,0.01,14,0.673605987536004
161,prostate,3,10.0,0.01,0,0.29317607797706163
162,prostate,3,10.0,0.01,3,0.4634404618406529
163,prostate,3,10.0,0.01,5,0.5701645957393678
164,prostate,3,10.0,0.01,7,0.6571245995593535
165,prostate,3,10.0,0.01,9,0.691226667202473
166,prostate,3,10.0,0.01,12,0.6853612267280809
167,prostate,3,10.0,0.01,14,0.673605987536004
168,prostate,5,0.0,0.01,0,0.29317607797706163
169,prostate,5,0.0,0.01,3,0.6770025145904832
170,prostate,5,0.0,0.01,5,0.8513409319307439
171,prostate,5,0.0,0.01,7,0.8015674863690674
172,prostate,5,0.0,0.01,9,0.6883796718358589
173,prostate,5,0.0,0.01,12,0.5361163659276773
174,prostate,5,0.0,0.01,14,0.45644296366613496
175,prostate,5,0.1,0.01,0,0.29317607797706163
176,prostate,5,0.1,0.01,3,0.4555294836261679
177,prostate,5,0.1,0.01,5,0.5572958696414402
178,prostate,5,0.1,0.01,7,0.6483018532862683
179,prostate,5,0.1,0.01,9,0.6897487709846456
180,prostate,5,0.1,0.01,12,0.7001330706395477
181,prostate,5,0.1,0.01,14,0.695035676798203
182,prostate,5,1.0,0.01,0,0.29317607797706163
183,prostate,5,1.0,0.01,3,0.45547872637201714
184,prostate,5,1.0,0.01,5,0.5572188327069505
185,prostate,5,1.0,0.01,7,0.6482812031291423
186,prostate,5,1.0,0.01,9,0.689856146484834
187,prostate,5,1.0,0.01,12,0.7004846537884644
188,prostate,5,1.0,0.01,14,0.6954670124106418
189,prostate,5,2.0,0.01,0,0.29317607797706163
190,prostate,5,2.0,0.01,3,0.45547872637201714
191,prostate,5,2.0,0.01,5,0.5572188327069505
192,prostate,5,2.0,0.01,7,0.6482812031291423
193,prostate,5,2.0,0.01,9,0.689856146484834
194,prostate,5,2.0,0.01,12,0.7004846537884644
195,prostate,5,2.0,0.01,14,0.6954670124106418
196,prostate,5,5.0,0.01,0,0.29317607797706163
197,prostate,5,5.0,0.01,3,0.45547984442069034
198,prostate,5,5.0,0.01,5,0.5572180754216237
199,prostate,5,5.0,0.01,7,0.6482807607825497
200,prostate,5,5.0,0.01,9,0.6898561942304285
201,prostate,5,5.0,0.01,12,0.7004846648991704
202,prostate,5,5.0,0.01,14,0.695466526414217
203,prostate,5,10.0,0.01,0,0.29317607797706163
204,prostate,5,10.0,0.01,3,0.45547984442069034
205,prostate,5,10.0,0.01,5,0.5572180754216237
206,prostate,5,10.0,0.01,7,0.6482807607825497
207,prostate,5,10.0,0.01,9,0.6898561942304285
208,prostate,5,10.0,0.01,12,0.7004846648991704
209,prostate,5,10.0,0.01,14,0.695466526414217
210,prostate,7,0.0,0.01,0,0.29317607797706163
211,prostate,7,0.0,0.01,3,0.6770025145904832
212,prostate,7,0.0,0.01,5,0.8513409319307439
213,prostate,7,0.0,0.01,7,0.8015674863690674
214,prostate,7,0.0,0.01,9,0.6883796718358589
215,prostate,7,0.0,0.01,12,0.5361163659276773
216,prostate,7,0.0,0.01,14,0.45644296366613496
217,prostate,7,0.1,0.01,0,0.29317607797706163
218,prostate,7,0.1,0.01,3,0.445359089871856
219,prostate,7,0.1,0.01,5,0.5421893616775048
220,prostate,7,0.1,0.01,7,0.6301394720219494
221,prostate,7,0.1,0.01,9,0.6719807399737566
222,prostate,7,0.1,0.01,12,0.6849137303799067
223,prostate,7,0.1,0.01,14,0.6772758585080835
224,prostate,7,1.0,0.01,0,0.29317607797706163
225,prostate,7,1.0,0.01,3,0.4453119821281972
226,prostate,7,1.0,0.01,5,0.5421428313900445
227,prostate,7,1.0,0.01,7,0.6301170786005869
228,prostate,7,1.0,0.01,9,0.6720089960572379
229,prostate,7,1.0,0.01,12,0.6850105077775729
230,prostate,7,1.0,0.01,14,0.6773974645707833
231,prostate,7,2.0,0.01,0,0.29317607797706163
232,prostate,7,2.0,0.01,3,0.4453119821281972
233,prostate,7,2.0,0.01,5,0.5421428313900445
234,prostate,7,2.0,0.01,7,0.6301170786005869
235,prostate,7,2.0,0.01,9,0.6720089960572379
236,prostate,7,2.0,0.01,12,0.6850105077775729
237,prostate,7,2.0,0.01,14,0.6773974645707833
238,prostate,7,5.0,0.01,0,0.29317607797706163
239,prostate,7,5.0,0.01,3,0.4453119821281972
240,prostate,7,5.0,0.01,5,0.5421424605768608
241,prostate,7,5.0,0.01,7,0.6301167707787707
242,prostate,7,5.0,0.01,9,0.6720090789088204
243,prostate,7,5.0,0.01,12,0.6850104630668332
244,prostate,7,5.0,0.01,14,0.6773974645707833
245,prostate,7,10.0,0.01,0,0.29317607797706163
246,prostate,7,10.0,0.01,3,0.4453119821281972
247,prostate,7,10.0,0.01,5,0.5421424605768608
248,prostate,7,10.0,0.01,7,0.6301167707787707
249,prostate,7,10.0,0.01,9,0.6720090789088204
250,prostate,7,10.0,0.01,12,0.6850104630668332
251,prostate,7,10.0,0.01,14,0.6773974645707833
252,prostate,3,0.0,0.02,0,0.29317607797706163
253,prostate,3,0.0,0.02,3,0.6770025145904832
254,prostate,3,0.0,0.02,5,0.8513409319307439
255,prostate,3,0.0,0.02,7,0.8015674863690674
256,prostate,3,0.0,0.02,9,0.6883796718358589
257,prostate,3,0.0,0.02,12,0.5361163659276773
258,prostate,3,0.0,0.02,14,0.45644296366613496
259,prostate,3,0.1,0.02,0,0.29317607797706163
260,prostate,3,0.1,0.02,3,0.45475297787726743
261,prostate,3,0.1,0.02,5,0.5512060862341738
262,prostate,3,0.1,0.02,7,0.6338594258607804
263,prostate,3,0.1,0.02,9,0.6687692729569369
264,prostate,3,0.1,0.02,12,0.6795832332587489
265,prostate,3,0.1,0.02,14,0.6732932899485224
266,prostate,3,1.0,0.02,0,0.29317607797706163
267,prostate,3,1.0,0.02,3,0.45475138606381244
268,prostate,3,1.0,0.02,5,0.5512059180136711
269,prostate,3,1.0,0.02,7,0.6338692815661009
270,prostate,3,1.0,0.02,9,0.6687890260379542
271,prostate,3,1.0,0.02,12,0.6796390768821517
272,prostate,3,1.0,0.02,14,0.6733588117810159
273,prostate,3,2.0,0.02,0,0.29317607797706163
274,prostate,3,2.0,0.02,3,0.45475138606381244
275,prostate,3,2.0,0.02,5,0.5512059180136711
276,prostate,3,2.0,0.02,7,0.6338692815661009
277,prostate,3,2.0,0.02,9,0.6687890260379542
278,prostate,3,2.0,0.02,12,0.6796390768821517
279,prostate,3,2.0,0.02,14,0.6733588117810159
280,prostate,3,5.0,0.02,0,0.29317607797706163
281,prostate,3,5.0,0.02,3,0.45475138606381244
282,prostate,3,5.0,0.02,5,0.5512059180136711
283,prostate,3,5.0,0.02,7,0.6338678313564072
284,prostate,3,5.0,0.02,9,0.6687870715009072
285,prostate,3,5.0,0.02,12,0.6796385395589172
286,prostate,3,5.0,0.02,14,0.6733586328529751
287,prostate,3,10.0,0.02,0,0.29317607797706163
288,prostate,3,10.0,0.02,3,0.45475138606381244
289,prostate,3,10.0,0.02,5,0.5512059180136711
290,prostate,3,10.0,0.02,7,0.6338678313564072
291,prostate,3,10.0,0.02,9,0.6687870715009072
292,prostate,3,10.0,0.02,12,0.6796385395589172
293,prostate,3,10.0,0.02,14,0.6733586328529751
294,prostate,5,0.0,0.02,0,0.29317607797706163
295,prostate,5,0.0,0.02,3,0.6770025145904832
296,prostate,5,0.0,0.02,5,0.8513409319307439
297,prostate,5,0.0,0.02,7,0.8015674863690674
298,prostate,5,0.0,0.02,9,0.6883796718358589
299,prostate,5,0.0,0.02,12,0.5361163659276773
300,prostate,5,0.0,0.02,14,0.45644296366613496
301,prostate,5,0.1,0.02,0,0.29317607797706163
302,prostate,5,0.1,0.02,3,0.44296864808302766
303,prostate,5,0.1,0.02,5,0.5376925878922615
304,prostate,5,0.1,0.02,7,0.6205752239409196
305,prostate,5,0.1,0.02,9,0.6566669631728126
306,prostate,5,0.1,0.02,12,0.6683850103602166
307,prostate,5,0.1,0.02,14,0.6660054958878675
308,prostate,5,1.0,0.02,0,0.29317607797706163
309,prostate,5,1.0,0.02,3,0.44296864808302766
310,prostate,5,1.0,0.02,5,0.537692830738733
311,prostate,5,1.0,0.02,7,0.6205762348233417
312,prostate,5,1.0,0.02,9,0.6566713525311214
